JANUS CAPITAL MANAGEMENT LLC
20160930
nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt - sshPrnamt	shrsOrPrnAmt - sshPrnamtType	investmentDiscretion	otherManager	votingAuthority - Sole	votingAuthority - Shared	votingAuthority - None
JPMORGAN CHASE  CO	COM	46625H100	104345	1566979	SH	DFND	1	1147254	0	419725
JPMORGAN CHASE  CO	COM	46625H100	126781	1903900	SH	SOLE	 	1842966	0	60934
JUNIPER NETWORKS INC	COM	48203R104	17907	744271	SH	DFND	1	556371	0	187900
JUNIPER NETWORKS INC	COM	48203R104	26	1078	SH	SOLE	 	1078	0	0
KANSAS CITY SOUTHERN	COM	485170302	5977	64049	SH	DFND	1	45549	0	18500
KANSAS CITY SOUTHERN	COM	485170302	15472	165794	SH	SOLE	 	165794	0	0
KAR AUCTION SERVICES INC	COM	48238T109	7329	169800	SH	DFND	1	85500	0	84300
KATE SPADE  CO	COM	485865109	2657	155100	SH	DFND	1	38200	0	116900
KBR INC	COM	48242W106	484	32000	SH	DFND	1	100	0	31900
KEARNY FINANCIAL CORP/MD	COM	48716P108	538	39534	SH	SOLE	 	39534	0	0
KELLOGG CO	COM	487836108	146729	1894009	SH	DFND	1	1398009	0	496000
KELLOGG CO	COM	487836108	25	321	SH	SOLE	 	121	0	200
KENNAMETAL INC	COM	489170100	60202	2074513	SH	SOLE	 	1934561	0	139952
KENNEDY-WILSON HOLDINGS INC	COM	489398107	16078	712986	SH	SOLE	 	712986	0	0
KEYCORP	COM	493267108	4609	378741	SH	DFND	1	200142	0	178599
KEYCORP	COM	493267108	1	94	SH	SOLE	 	94	0	0
KEYSIGHT TECHNOLOGIES IN	COM	49338L103	276	8700	SH	DFND	1	100	0	8600
KILROY REALTY CORP	COM	49427F108	624	9000	SH	DFND	1	100	0	8900
KILROY REALTY CORP	COM	49427F108	36	513	SH	SOLE	 	513	0	0
KIMBERLY-CLARK CORP	COM	494368103	330484	2619974	SH	DFND	1	1988002	0	631972
KIMBERLY-CLARK CORP	COM	494368103	361365	2864793	SH	SOLE	 	2864793	0	0
KIMCO REALTY CORP	COM	49446R109	109797	3792658	SH	DFND	1	2888658	0	904000
KIMCO REALTY CORP	COM	49446R109	55	1916	SH	SOLE	 	1916	0	0
KINDER MORGAN INC	COM	49456B101	4655	201264	SH	DFND	1	81564	0	119700
KINDER MORGAN INC	COM	49456B101	21	914	SH	SOLE	 	914	0	0
KIRBY CORP	COM	497266106	727	11700	SH	DFND	1	8900	0	2800
KLA-TENCOR CORP	COM	482480100	9953	142778	SH	DFND	1	116778	0	26000
KLA-TENCOR CORP	COM	482480100	127376	1827222	SH	SOLE	 	1591511	0	235711
KNOWLES CORP	COM	49926D109	153954	10957553	SH	SOLE	 	10810793	0	146760
KOHLS CORP	COM	500255104	2065	47200	SH	DFND	1	29400	0	17800
KRAFT HEINZ CO/THE	COM	500754106	25938	289782	SH	DFND	1	202082	0	87700
KRAFT HEINZ CO/THE	COM	500754106	7	76	SH	SOLE	 	76	0	0
KROGER CO	COM	501044101	112663	3795930	SH	DFND	1	3051302	0	744628
KROGER CO	COM	501044101	813790	27418721	SH	SOLE	 	26599854	0	818867
L BRANDS INC	COM	501797104	69205	977893	SH	DFND	1	605793	0	372100
L BRANDS INC	COM	501797104	76612	1082550	SH	SOLE	 	1060680	0	21870
L-3 COMMUNICATIONS HOLDINGS	COM	502424104	27344	181412	SH	DFND	1	151612	0	29800
L-3 COMMUNICATIONS HOLDINGS	COM	502424104	1	5	SH	SOLE	 	5	0	0
LA JOLLA PHARMACEUTICAL CO	COM	503459604	28970	1217717	SH	SOLE	 	1087788	0	129929
LABORATORY CRP OF AMER HLDGS	COM	50540R409	19456	141518	SH	DFND	1	127318	0	14200
LABORATORY CRP OF AMER HLDGS	COM	50540R409	6	45	SH	SOLE	 	45	0	0
LAM RESEARCH CORP	COM	512807108	80721	852300	SH	DFND	1	664500	0	187800
LAM RESEARCH CORP	COM	512807108	161159	1701610	SH	SOLE	 	1545998	0	155612
LAMAR ADVERTISING CO-A	COM	512816109	19312	295700	SH	DFND	1	140900	0	154800
LAMAR ADVERTISING CO-A	COM	512816109	369985	5665064	SH	SOLE	 	5340164	0	324900
LANDCADIA HOLDINGS INC	COM	51476W206	8050	785350	SH	SOLE	 	785350	0	0
LANDS END INC	COM	51509F105	54843	3782310	SH	SOLE	 	3759581	0	22729
LANDSTAR SYSTEM INC	COM	515098101	2029	29800	SH	DFND	1	27000	0	2800
LANDSTAR SYSTEM INC	COM	515098101	39026	573244	SH	SOLE	 	527173	0	46071
LAS VEGAS SANDS CORP	COM	517834107	2865	49800	SH	DFND	1	21300	0	28500
LASALLE HOTEL PROPERTIES	COM	517942108	229	9600	SH	DFND	1	9600	0	0
LAZARD LTD-CL A	COM	G54050102	571	15700	SH	DFND	1	300	0	15400
LEAR CORP	COM	521865204	45906	378700	SH	DFND	1	265200	0	113500
LEGG MASON INC	COM	524901105	311	9300	SH	DFND	1	2200	0	7100
LEGGETT  PLATT INC	COM	524660107	64902	1423908	SH	DFND	1	1010900	0	413008
LEIDOS HOLDINGS INC	COM	525327102	5098	117800	SH	DFND	1	49200	0	68600
LENDINGTREE INC	COM	52603B107	24576	253599	SH	SOLE	 	234947	0	18652
LENNAR CORP-A	COM	526057104	1249	29500	SH	DFND	1	10900	0	18600
LENNOX INTERNATIONAL INC	COM	526107107	20178	128500	SH	DFND	1	66900	0	61600
LEUCADIA NATIONAL CORP	COM	527288104	662	34747	SH	DFND	1	15347	0	19400
LEUCADIA NATIONAL CORP	COM	527288104	9	485	SH	SOLE	 	485	0	0
LEVEL 3 COMMUNICATIONS INC	COM	52729N308	1922	41446	SH	DFND	1	23346	0	18100
LEVEL 3 COMMUNICATIONS INC	COM	52729N308	10	213	SH	SOLE	 	213	0	0
LEXINGTON REALTY TRUST	COM	529043101	8181	794253	SH	SOLE	 	794253	0	0
LIBERTY BROADBAND-C	COM	530307305	257	3600	SH	DFND	1	900	0	2700
LIBERTY GLOBAL PLC LILAC - C	COM	G5480U153	401	14304	SH	DFND	1	14304	0	0
LIBERTY GLOBAL PLC-A	COM	G5480U104	261	7650	SH	DFND	1	7650	0	0
LIBERTY GLOBAL PLC-A	COM	G5480U104	3995	116872	SH	SOLE	 	49065	0	67807
LIBERTY GLOBAL PLC-SERIES C	COM	G5480U120	700	21176	SH	DFND	1	21176	0	0
LIBERTY GLOBAL PLC-SERIES C	COM	G5480U120	117718	3562856	SH	SOLE	 	3451224	0	111632
LIBERTY INTERACTIVE CORP Q-A	COM	53071M104	773	38614	SH	DFND	1	13414	0	25200
LIBERTY INTERACTIVE CORP Q-A	COM	53071M104	43699	2183873	SH	SOLE	 	2136619	0	47254
LIBERTY MEDIA COR-SIRIUSXM A	COM	531229409	12848	378100	SH	DFND	1	271800	0	106300
LIBERTY MEDIA COR-SIRIUSXM C	COM	531229607	15960	477700	SH	DFND	1	367100	0	110600
LIBERTY PROPERTY TRUST	COM	531172104	17056	422700	SH	DFND	1	316300	0	106400
LIBERTY PROPERTY TRUST	COM	531172104	60	1483	SH	SOLE	 	1483	0	0
LIBERTY VENTURES - SER A	COM	53071M880	419	10500	SH	DFND	1	200	0	10300
LIFE STORAGE INC	COM	53223X107	2401	27000	SH	DFND	1	3300	0	23700
LIFEPOINT HEALTH INC	COM	53219L109	2286	38600	SH	DFND	1	16800	0	21800
LIGAND PHARMACEUTICALS	COM	53220K504	21196	207684	SH	SOLE	 	192739	0	14945
LINCOLN ELECTRIC HOLDINGS	COM	533900106	1290	20600	SH	DFND	1	9000	0	11600
LINCOLN NATIONAL CORP	COM	534187109	1522	32400	SH	DFND	1	13000	0	19400
LINEAR TECHNOLOGY CORP	COM	535678106	4840	81634	SH	DFND	1	52834	0	28800
LINEAR TECHNOLOGY CORP	COM	535678106	135	2271	SH	SOLE	 	2271	0	0
LINKEDIN CORP - A	COM	53578A108	3421	17900	SH	DFND	1	9400	0	8500
LINKEDIN CORP - A	COM	53578A108	91617	479368	SH	SOLE	 	479368	0	0
LIONS GATE ENTERTAINMENT COR	COM	535919203	402	20100	SH	DFND	1	400	0	19700
LKQ CORP	COM	501889208	39658	1118392	SH	DFND	1	799592	0	318800
LKQ CORP	COM	501889208	36042	1016401	SH	SOLE	 	1001967	0	14434
LOCKHEED MARTIN CORP	COM	539830109	502871	2097742	SH	DFND	1	1588704	0	509038
LOCKHEED MARTIN CORP	COM	539830109	3	11	SH	SOLE	 	11	0	0
LOEWS CORP	COM	540424108	16516	391482	SH	DFND	1	320243	0	55300
LOEWS CORP	COM	540424108	4	95	SH	SOLE	 	95	0	0
LOWES COS INC	COM	548661107	271585	3761051	SH	DFND	1	2601480	0	1159571
LOWES COS INC	COM	548661107	212721	2945827	SH	SOLE	 	2659105	0	286722
LPL FINANCIAL HOLDINGS INC	COM	50212V100	84	2800	SH	DFND	1	100	0	2700
LPL FINANCIAL HOLDINGS INC	COM	50212V100	226988	7589020	SH	SOLE	 	7114224	0	474796
LULULEMON ATHLETICA INC	COM	550021109	26843	440200	SH	DFND	1	286300	0	153900
LULULEMON ATHLETICA INC	COM	550021109	8770	143824	SH	SOLE	 	143824	0	0
LYONDELLBASELL INDU-CL A	COM	N53745100	131033	1624507	SH	DFND	1	1313613	0	310894
LYONDELLBASELL INDU-CL A	COM	N53745100	843577	10458435	SH	SOLE	 	10289007	0	169428
M  T BANK CORP	COM	55261F104	11130	95865	SH	DFND	1	78480	0	17385
MACERICH CO/THE	COM	554382101	15109	186828	SH	DFND	1	134828	0	52000
MACERICH CO/THE	COM	554382101	4	50	SH	SOLE	 	50	0	0
MACK-CALI REALTY CORP	COM	554489104	2975	109280	SH	SOLE	 	109280	0	0
MACQUARIE INFRASTRUCTURE COR	COM	55608B105	741	8900	SH	DFND	1	4700	0	4200
MACYS INC	COM	55616P104	2207	59561	SH	DFND	1	46161	0	13400
MACYS INC	COM	55616P104	10	257	SH	SOLE	 	257	0	0
MADISON SQUARE GARDEN CO- A	COM	55825T103	372	2198	SH	DFND	1	1066	0	1132
MAKEMYTRIP LTD	COM	V5633W109	40625	1721382	SH	SOLE	 	1702091	0	19291
MALLINCKRODT PLC	COM	G5785G107	1987	28471	SH	DFND	1	21878	0	6593
MALLINCKRODT PLC	COM	G5785G107	251501	3604159	SH	SOLE	 	3340394	0	263765
MANCHESTER UNITED PLC-CL A	COM	G5784H106	20128	1192421	SH	SOLE	 	1116444	0	75977
MANHATTAN ASSOCIATES INC	COM	562750109	2466	42800	SH	DFND	1	19100	0	23700
MANNKIND CORP	COM	56400P201	7	10940	SH	SOLE	 	10940	0	0
MANPOWERGROUP INC	COM	56418H100	4278	59200	SH	DFND	1	33700	0	25500
MARATHON OIL CORP	COM	565849106	1843	116547	SH	DFND	1	73447	0	43100
MARATHON OIL CORP	COM	565849106	7	414	SH	SOLE	 	414	0	0
MARATHON PETROLEUM CORP	COM	56585A102	3043	74960	SH	DFND	1	40460	0	34500
MARATHON PETROLEUM CORP	COM	56585A102	9	224	SH	SOLE	 	224	0	0
MARKEL CORP	COM	570535104	49503	53300	SH	DFND	1	36300	0	17000
MARKETAXESS HOLDINGS INC	COM	57060D108	16956	102400	SH	DFND	1	47000	0	55400
MARKETAXESS HOLDINGS INC	COM	57060D108	132306	798996	SH	SOLE	 	741500	0	57496
MARRIOTT INTERNATIONAL -CL A	COM	571903202	9926	147416	SH	DFND	1	93956	0	53460
MARRIOTT INTERNATIONAL -CL A	COM	571903202	65	972	SH	SOLE	 	972	0	0
MARSH  MCLENNAN COS	COM	571748102	173445	2579107	SH	DFND	1	1884920	0	694187
MARTIN MARIETTA MATERIALS	COM	573284106	35729	199480	SH	DFND	1	155980	0	43500
MARTIN MARIETTA MATERIALS	COM	573284106	6	31	SH	SOLE	 	31	0	0
MARVELL TECHNOLOGY GROUP LTD	COM	G5876H105	929	70000	SH	DFND	1	42600	0	27400
MASCO CORP	COM	574599106	131485	3832273	SH	DFND	1	2832173	0	1000100
MASCO CORP	COM	574599106	1	29	SH	SOLE	 	29	0	0
MASIMO CORP	COM	574795100	160002	2689556	SH	SOLE	 	2572282	0	117274
MASTERCARD INC - A	COM	57636Q104	102615	1008300	SH	DFND	1	651500	0	356800
MASTERCARD INC - A	COM	57636Q104	1530185	15034572	SH	SOLE	 	14236588	0	776294
MATTEL INC	COM	577081102	116441	3845483	SH	DFND	1	2768283	0	1077200
MATTEL INC	COM	577081102	286071	9447524	SH	SOLE	 	9336197	0	111327
MAXIM INTEGRATED PRODUCTS	COM	57772K101	1989	49800	SH	DFND	1	34600	0	15200
MAXIM INTEGRATED PRODUCTS	COM	57772K101	14977	375087	SH	SOLE	 	211440	0	163647
MAXIMUS INC	COM	577933104	128971	2280257	SH	SOLE	 	2117045	0	163212
MCCORMICK  CO-NON VTG SHRS	COM	579780206	136631	1367400	SH	DFND	1	988600	0	378800
MCCORMICK  CO-NON VTG SHRS	COM	579780206	20	200	SH	SOLE	 	0	0	200
MCDONALDS CORP	COM	580135101	332991	2886540	SH	DFND	1	2057540	0	829000
MCDONALDS CORP	COM	580135101	215714	1869921	SH	SOLE	 	1869921	0	0
MCKESSON CORP	COM	58155Q103	8526	51130	SH	DFND	1	35730	0	15400
MCKESSON CORP	COM	58155Q103	2	12	SH	SOLE	 	12	0	0
MDU RESOURCES GROUP INC	COM	552690109	6332	248900	SH	DFND	1	92600	0	156300
MEAD JOHNSON NUTRITION CO	COM	582839106	1871	23686	SH	DFND	1	10886	0	12800
MEAD JOHNSON NUTRITION CO	COM	582839106	17973	227472	SH	SOLE	 	227472	0	0
MEDIDATA SOLUTIONS INC	COM	58471A105	19926	357349	SH	SOLE	 	330600	0	26749
MEDNAX INC	COM	58502B106	6294	95000	SH	DFND	1	54500	0	40500
MEDNAX INC	COM	58502B106	128	1928	SH	SOLE	 	1928	0	0
MEDPACE HOLDINGS INC	COM	58506Q109	1385	46372	SH	SOLE	 	25226	0	21146
MEDTRONIC PLC	COM	G5960L103	81217	940010	SH	DFND	1	582027	0	357983
MEDTRONIC PLC	COM	G5960L103	376131	4353362	SH	SOLE	 	4245982	0	107380
MERCADOLIBRE INC	COM	58733R102	17520	94717	SH	SOLE	 	94717	0	0
MERCK  CO. INC.	COM	58933Y105	52788	845829	SH	DFND	1	486084	0	359745
MERCK  CO. INC.	COM	58933Y105	47142	755357	SH	SOLE	 	755357	0	0
MERIDIAN BIOSCIENCE INC	COM	589584101	199	10300	SH	DFND	1	10300	0	0
MERIT MEDICAL SYSTEMS INC	COM	589889104	68478	2819183	SH	SOLE	 	2633475	0	185708
METLIFE INC	COM	59156R108	4821	108507	SH	DFND	1	48207	0	60300
METTLER-TOLEDO INTERNATIONAL	COM	592688105	69482	165500	SH	DFND	1	112100	0	53400
MFA FINANCIAL INC	COM	55272X102	719	96100	SH	DFND	1	76000	0	20100
MGIC INVESTMENT CORP	COM	552848103	37476	4684478	SH	SOLE	 	4684478	0	0
MGM GROWTH PROPERTIES LLC-A	COM	55303A105	264	10111	SH	DFND	1	10111	0	0
MGM GROWTH PROPERTIES LLC-A	COM	55303A105	64799	2485592	SH	SOLE	 	2485592	0	0
MGM RESORTS INTERNATIONAL	COM	552953101	22930	880900	SH	DFND	1	538300	0	342600
MICHAEL KORS HOLDINGS LTD	COM	G60754101	925	19777	SH	DFND	1	8277	0	11500
MICHAEL KORS HOLDINGS LTD	COM	G60754101	1	30	SH	SOLE	 	30	0	0
MICHAELS COS INC/THE	COM	59408Q106	5378	222500	SH	DFND	1	117500	0	105000
MICHAELS COS INC/THE	COM	59408Q106	63168	2613490	SH	SOLE	 	2438359	0	175131
MICROCHIP TECHNOLOGY INC	COM	595017104	55932	900099	SH	DFND	1	679640	0	220459
MICROCHIP TECHNOLOGY INC	COM	595017104	190564	3066693	SH	SOLE	 	2454698	0	611995
MICRON TECHNOLOGY INC	COM	595112103	3121	175553	SH	DFND	1	115053	0	60500
MICRON TECHNOLOGY INC	COM	595112103	8	449	SH	SOLE	 	449	0	0
MICROSOFT CORP	COM	594918104	495531	8602969	SH	DFND	1	5851956	0	2751013
MICROSOFT CORP	COM	594918104	2097791	36418057	SH	SOLE	 	33432976	0	2937277
MID-AMERICA APARTMENT COMM	COM	59522J103	40557	431500	SH	DFND	1	300000	0	131500
MID-AMERICA APARTMENT COMM	COM	59522J103	54	570	SH	SOLE	 	570	0	0
MIDDLEBY CORP	COM	596278101	4055	32800	SH	DFND	1	15700	0	17100
MIDDLEBY CORP	COM	596278101	83114	672333	SH	SOLE	 	634513	0	37820
MOBILEYE NV	COM	N51488117	426	10000	SH	DFND	1	10000	0	0
MOHAWK INDUSTRIES INC	COM	608190104	54498	272027	SH	DFND	1	193927	0	78100
MOHAWK INDUSTRIES INC	COM	608190104	2	11	SH	SOLE	 	11	0	0
MOLSON COORS BREWING CO -B	COM	60871R209	34631	315400	SH	DFND	1	261400	0	54000
MONDELEZ INTERNATIONAL INC-A	COM	609207105	66002	1503459	SH	DFND	1	1134759	0	368700
MONRO MUFFLER BRAKE INC	COM	610236101	41665	681129	SH	SOLE	 	633427	0	47702
MONSANTO CO	COM	61166W101	6295	61593	SH	DFND	1	33593	0	28000
MONSANTO CO	COM	61166W101	8	74	SH	SOLE	 	74	0	0
MONSTER BEVERAGE CORP	COM	61174X109	2510	17100	SH	DFND	1	6400	0	10700
MOODYS CORP	COM	615369105	44192	408130	SH	DFND	1	271930	0	136200
MORGAN STANLEY	COM	617446448	6237	194550	SH	DFND	1	95750	0	98800
MORGAN STANLEY	COM	617446448	295599	9220182	SH	SOLE	 	9021726	0	198456
MOSAIC CO/THE	COM	61945C103	803	32829	SH	DFND	1	12529	0	20300
MOSAIC CO/THE	COM	61945C103	5	206	SH	SOLE	 	206	0	0
MOTOROLA SOLUTIONS INC	COM	620076307	30813	403943	SH	DFND	1	306043	0	97900
MOTOROLA SOLUTIONS INC	COM	620076307	96109	1259946	SH	SOLE	 	1242772	0	17174
MSC INDUSTRIAL DIRECT CO-A	COM	553530106	3898	53100	SH	DFND	1	41400	0	11700
MSCI INC	COM	55354G100	33979	404800	SH	DFND	1	217700	0	187100
MSCI INC	COM	55354G100	327596	3902736	SH	SOLE	 	3618441	0	284295
MULTI PACKAGING SOLUTIONS IN	COM	G6331W109	791	54920	SH	SOLE	 	54920	0	0
MURPHY OIL CORP	COM	626717102	35788	1177228	SH	DFND	1	997828	0	179400
MURPHY OIL CORP	COM	626717102	5	166	SH	SOLE	 	166	0	0
MURPHY USA INC	COM	626755102	4895	68600	SH	DFND	1	37900	0	30700
MYERS INDUSTRIES INC	COM	628464109	1088	83788	SH	SOLE	 	83788	0	0
MYLAN NV	COM	N59465109	1696	44500	SH	DFND	1	17900	0	26600
NABORS INDUSTRIES LTD	COM	G6359F103	3804	312800	SH	DFND	1	99900	0	212900
NASDAQ INC	COM	631103108	96898	1434680	SH	DFND	1	1083200	0	351480
NATIONAL BEVERAGE CORP	COM	635017106	503	11421	SH	SOLE	 	11421	0	0
NATIONAL CINEMEDIA INC	COM	635309107	98538	6694181	SH	SOLE	 	6299741	0	394440
NATIONAL FUEL GAS CO	COM	636180101	1628	30100	SH	DFND	1	24800	0	5300
NATIONAL INSTRUMENTS CORP	COM	636518102	179	6300	SH	DFND	1	600	0	5700
NATIONAL INSTRUMENTS CORP	COM	636518102	277863	9783892	SH	SOLE	 	8788132	0	995760
NATIONAL OILWELL VARCO INC	COM	637071101	2191	59634	SH	DFND	1	36734	0	22900
NATIONAL OILWELL VARCO INC	COM	637071101	5	130	SH	SOLE	 	130	0	0
NATIONAL RETAIL PROPERTIES	COM	637417106	9855	193800	SH	DFND	1	77800	0	116000
NATIONAL STORAGE AFFILIATES	COM	637870106	235	11200	SH	DFND	1	11200	0	0
NAVIENT CORP	COM	63938C108	22343	1544100	SH	DFND	1	1271200	0	272900
NCR CORPORATION	COM	62886E108	6815	211700	SH	DFND	1	76000	0	135700
NEKTAR THERAPEUTICS	COM	640268108	31723	1846526	SH	SOLE	 	1650298	0	196228
NETAPP INC	COM	64110D104	1384	38646	SH	DFND	1	19546	0	19100
NETAPP INC	COM	64110D104	5	134	SH	SOLE	 	134	0	0
NETEASE INC-ADR	ADR	64110W102	5851	24300	SH	DFND	1	9900	0	14400
NETFLIX INC	COM	64110L106	127314	1285998	SH	DFND	1	1000298	0	285700
NETFLIX INC	COM	64110L106	80673	823229	SH	SOLE	 	681397	0	137199
NETSUITE INC	COM	64118Q107	421	3800	SH	DFND	1	1600	0	2200
NETSUITE INC	COM	64118Q107	57395	518519	SH	SOLE	 	518519	0	0
NEUROCRINE BIOSCIENCES INC	COM	64125C109	3438	67900	SH	DFND	1	20700	0	47200
NEUROCRINE BIOSCIENCES INC	COM	64125C109	104505	2063679	SH	SOLE	 	1890728	0	172951
NEW HOME CO INC/THE	COM	645370107	6360	596083	SH	SOLE	 	596083	0	0
NEW ORIENTAL EDUCATIO-SP ADR	ADR	647581107	3046	65700	SH	DFND	1	33300	0	32400
NEW YORK COMMUNITY BANCORP	COM	649445103	19418	1364569	SH	DFND	1	486600	0	877969
NEW YORK COMMUNITY BANCORP	COM	649445103	13	900	SH	SOLE	 	0	0	900
NEWELL BRANDS INC	COM	651229106	113000	2145832	SH	DFND	1	1582191	0	563641
NEWFIELD EXPLORATION CO	COM	651290108	57242	1317129	SH	DFND	1	1000029	0	317100
NEWFIELD EXPLORATION CO	COM	651290108	4	89	SH	SOLE	 	89	0	0
NEWMARKET CORP	COM	651587107	215	500	SH	DFND	1	0	0	500
NEWMONT MINING CORP	COM	651639106	251861	6410309	SH	DFND	1	4730109	0	1680200
NEWMONT MINING CORP	COM	651639106	72	1837	SH	SOLE	 	237	0	1600
NEWS CORP - CLASS A	COM	65249B109	589	42164	SH	DFND	1	19464	0	22700
NEWS CORP - CLASS A	COM	65249B109	92872	6643230	SH	SOLE	 	6540985	0	102245
NEWS CORP - CLASS B	COM	65249B208	165	11623	SH	DFND	1	6423	0	5200
NEWS CORP - CLASS B	COM	65249B208	32	2227	SH	SOLE	 	2227	0	0
NEXTERA ENERGY INC	COM	65339F101	156066	1275887	SH	DFND	1	991548	0	284339
NEXTERA ENERGY INC	COM	65339F101	3	26	SH	SOLE	 	26	0	0
NICE LTD - SPON ADR	ADR	653656108	282634	4222195	SH	SOLE	 	3876072	0	346123
NIELSEN HOLDINGS PLC	COM	G6518L108	65081	1214875	SH	DFND	1	936975	0	277900
NIELSEN HOLDINGS PLC	COM	G6518L108	190266	3553435	SH	SOLE	 	3357071	0	185653
NIKE INC -CL B	COM	654106103	121592	2309435	SH	DFND	1	1509235	0	800200
NIKE INC -CL B	COM	654106103	1181352	22439541	SH	SOLE	 	21702086	0	699831
NISOURCE INC	COM	65473P105	97042	4024952	SH	DFND	1	3157852	0	867100
NISOURCE INC	COM	65473P105	2	98	SH	SOLE	 	98	0	0
NOBLE CORP PLC	COM	G65431101	403	63600	SH	DFND	1	1000	0	62600
NOBLE ENERGY INC	COM	655044105	20488	573264	SH	DFND	1	418464	0	154800
NOBLE ENERGY INC	COM	655044105	6	181	SH	SOLE	 	181	0	0
NOMAD FOODS LTD	COM	G6564A105	28573	2417373	SH	SOLE	 	2370211	0	47162
NORD ANGLIA EDUCATION INC	COM	G6583A102	6916	317536	SH	SOLE	 	188611	0	128925
NORDSON CORP	COM	655663102	2262	22700	SH	DFND	1	10200	0	12500
NORDSON CORP	COM	655663102	158041	1586279	SH	SOLE	 	1472207	0	114072
NORDSTROM INC	COM	655664100	763	14700	SH	DFND	1	6800	0	7900
NORFOLK SOUTHERN CORP	COM	655844108	3560	36682	SH	DFND	1	17182	0	19500
NORFOLK SOUTHERN CORP	COM	655844108	3	32	SH	SOLE	 	32	0	0
NORTHERN TRUST CORP	COM	665859104	15556	228800	SH	DFND	1	190100	0	38700
NORTHROP GRUMMAN CORP	COM	666807102	385503	1801838	SH	DFND	1	1355468	0	446370
NORTHROP GRUMMAN CORP	COM	666807102	439346	2053495	SH	SOLE	 	2016211	0	37284
NORTHSTAR ASSET MANAGEMENT	COM	66705Y104	128	9900	SH	DFND	1	200	0	9700
NORTHSTAR ASSET MANAGEMENT	COM	66705Y104	2260	174779	SH	SOLE	 	174779	0	0
NORTHSTAR REALTY EUROPE CORP	COM	66706L101	804	73440	SH	SOLE	 	73440	0	0
NORTHSTAR REALTY FINANCE	COM	66704R803	140	10600	SH	DFND	1	150	0	10450
NORTHSTAR REALTY FINANCE	COM	66704R803	5652	429194	SH	SOLE	 	429194	0	0
NORWEGIAN CRUISE LINE HOLDIN	COM	G66721104	618	16400	SH	DFND	1	8400	0	8000
NORWEGIAN CRUISE LINE HOLDIN	COM	G66721104	393699	10442391	SH	SOLE	 	9926212	0	499741
NOVADAQ TECHNOLOGIES INC	COM	66987G102	54881	4743396	SH	SOLE	 	4416459	0	326937
NOVARTIS AG-SPONSORED ADR	ADR	66987V109	403	5100	SH	DFND	1	5100	0	0
NOVO-NORDISK A S	ADR	670100205	8380	201494	SH	SOLE	 	201494	0	0
NRG ENERGY INC	COM	629377508	5214	465100	SH	DFND	1	242000	0	223100
NRG ENERGY INC	COM	629377508	56475	5037912	SH	SOLE	 	4761807	0	276105
NRG YIELD INC-CLASS C	COM	62942X405	422	24900	SH	DFND	1	24900	0	0
NU SKIN ENTERPRISES INC - A	COM	67018T105	2416	37300	SH	DFND	1	27700	0	9600
NUANCE COMMUNICATIONS INC	COM	67020Y100	332	22900	SH	DFND	1	11000	0	11900
NUCOR CORP	COM	670346105	58271	1178386	SH	DFND	1	930586	0	247800
NUCOR CORP	COM	670346105	6	112	SH	SOLE	 	112	0	0
NUVEEN BLD AMER BOND FD	COM	67074C103	3752	165421	SH	SOLE	 	165421	0	0
NUVEEN BLD AMER BOND OPP FD	COM	67074Q102	3868	169560	SH	SOLE	 	169560	0	0
NUVEEN ENH AMT-FR MUNI CR FD	COM	67071L106	321	20000	SH	SOLE	 	20000	0	0
NUVEEN PFD INC OPP FD	COM	67073B106	627	62543	SH	SOLE	 	62543	0	0
NUVEEN PFD SEC INCOME FD	COM	67072C105	390	40700	SH	SOLE	 	40700	0	0
NVE CORP	COM	629445206	330	5600	SH	DFND	1	5600	0	0
NVIDIA CORP	COM	67066G104	344241	5023950	SH	DFND	1	3860550	0	1163400
NVIDIA CORP	COM	67066G104	4	59	SH	SOLE	 	59	0	0
NVR INC	COM	62944T105	25582	15600	SH	DFND	1	9500	0	6100
NXP SEMICONDUCTORS NV	COM	N6596X109	2819	27639	SH	DFND	1	27339	0	300
NXP SEMICONDUCTORS NV	COM	N6596X109	132710	1301149	SH	SOLE	 	1061055	0	229287
OCCIDENTAL PETROLEUM CORP	COM	674599105	42835	587431	SH	DFND	1	457531	0	129900
OCCIDENTAL PETROLEUM CORP	COM	674599105	0	6	SH	SOLE	 	6	0	0
OGE ENERGY CORP	COM	670837103	5031	159100	SH	DFND	1	136000	0	23100
OLD DOMINION FREIGHT LINE	COM	679580100	288	4200	SH	DFND	1	700	0	3500
OLD DOMINION FREIGHT LINE	COM	679580100	161282	2350710	SH	SOLE	 	2201810	0	148900
OLD REPUBLIC INTL CORP	COM	680223104	9733	552400	SH	DFND	1	295100	0	257300
OMEGA HEALTHCARE INVESTORS	COM	681936100	358	10100	SH	DFND	1	200	0	9900
OMEGA HEALTHCARE INVESTORS	COM	681936100	127	3572	SH	SOLE	 	3572	0	0
OMNICOM GROUP	COM	681919106	95957	1128911	SH	DFND	1	814511	0	314400
OMNICOM GROUP	COM	681919106	227892	2681084	SH	SOLE	 	2586855	0	94229
ON SEMICONDUCTOR CORP	COM	682189105	266	21600	SH	DFND	1	600	0	21000
ON SEMICONDUCTOR CORP	COM	682189105	339762	27578097	SH	SOLE	 	24864222	0	2713875
